50 100 10 15
30.8064 18.6366
86.2583 94.7338
56.0227 39.8056
54.4162 13.9152
84.228 54.1373
78.7971 3.0516
53.6371 54.845
0.18304 39.6589
37.0152 76.0946
43.6121 16.2785
63.3203 46.81
14.6777 59.3645
56.5367 8.5334
40.3117 49.7141
5.3982 77.6899
13.5985 13.3818
39.051 70.0195
45.7556 83.0731
33.1911 51.3148
85.7333 0.48138
60.7156 35.6712
19.7118 97.3022
14.3521 14.4658
76.738 77.4766
65.2723 36.0979
34.228 28.1578
5.6611 54.341
42.0362 40.7239
46.0864 92.0304
53.5503 35.6899
82.8423 11.2509
99.837 25.5084
38.2405 15.5677
19.008 81.3111
99.2391 62.9639
67.9937 65.9374
93.4896 66.4118
63.641 54.7277
64.8705 28.5949
38.2612 9.7313
2.7874 83.1218
59.3066 31.502
73.1305 59.8784
65.3124 46.8768
6.1962 65.8211
15.3041 26.1
75.5654 28.453
49.5833 69.1057
38.4369 97.3479
28.8318 28.2558
85.3993 95.9295 1
90.1328 98.9941 1
83.7754 83.6014 1
75.228 65.408 1
25.9131 86.9173 1
94.7138 86.3771 1
84.7132 76.1925 1
84.2375 16.5268 1
77.7156 7.9474 1
47.3755 50.8895 1
85.1166 9.304 1
92.9184 43.7859 1
2.4244 31.1971 1
72.9087 37.9151 1
46.632 99.5592 1
59.1194 86.9492 1
98.4498 94.7907 1
84.7007 25.4305 1
97.6697 4.8492 1
34.4855 83.1839 1
27.7363 68.8726 1
31.6407 59.6022 1
33.6489 21.474 1
54.81 53.5169 1
28.5206 5.5756 1
91.5859 43.1049 1
67.0683 19.0738 1
78.5491 32.7775 1
18.3005 93.7657 1
14.0886 84.7367 1
5.5745 25.6984 1
61.8373 37.7206 1
58.9941 73.3514 1
37.5036 78.2224 1
2.2618 1.1637 1
15.9251 22.1706 1
50.6773 6.7072 1
78.7172 70.5654 1
76.2038 87.5934 1
93.4325 27.7482 1
79.518 69.2804 1
45.4261 13.9014 1
34.4399 37.4769 1
13.286 83.5878 1
56.1234 69.5748 1
20.7615 69.4899 1
11.8007 85.3362 1
76.7655 29.4588 1
45.7255 65.0968 1
72.5843 29.8628 1
10.6726 94.4677 1
43.9141 78.0789 1
55.7388 82.5018 1
85.5584 73.6185 1
91.1929 79.3673 1
35.133 40.5158 1
37.2362 13.0612 1
10.2235 15.9556 1
65.7593 81.6644 1
21.881 3.0554 1
86.6431 54.3991 1
39.3405 82.3497 1
45.3885 94.8397 1
18.1754 46.0268 1
6.7439 6.95 1
78.4553 52.24 1
80.1867 19.5857 1
46.3419 29.8711 1
85.2423 97.5715 1
62.5648 16.5316 1
18.0491 77.735 1
3.007 34.1378 1
12.9778 47.4103 1
31.5606 10.0237 1
73.1535 6.0182 1
77.298 86.172 1
14.8569 7.0872 1
79.58 88.2796 1
16.5345 39.384 1
71.7103 44.0051 1
7.8557 35.0732 1
39.3866 3.2351 1
81.583 72.5566 1
52.9975 35.349 1
94.7356 64.106 1
31.6681 77.1589 1
57.8165 67.7081 1
19.0229 48.5872 1
39.2261 81.2129 1
99.8756 7.5997 1
34.3688 2.8333 1
90.8571 43.3507 1
69.7666 14.3478 1
2.977 80.8037 1
48.1277 0.17548 1
67.6905 9.6222 1
40.2483 42.1675 1
15.4091 23.5114 1
56.1168 95.6301 1
94.9325 37.1487 1
