50 100 10 15
30.651 71.89
73.1537 88.0662
45.9926 1.065
40.5043 57.1535
25.1685 97.1603
58.1145 53.363
80.8327 6.2717
5.0434 56.4695
14.8746 22.8127
49.141 44.0578
89.1695 9.8906
31.302 12.7116
28.2826 80.1629
6.4712 25.4883
6.0515 49.9928
57.9087 52.2996
83.6963 1.9605
34.7393 87.7014
34.8429 46.0103
4.1527 97.9939
39.1318 56.9475
86.6307 87.4304
2.5259 24.1524
17.1378 11.7559
83.0928 15.1405
1.2831 5.9494
46.669 20.0206
83.1624 86.8242
90.0266 77.0874
50.7053 93.1871
83.873 8.0753
56.7657 6.9891
77.3961 97.7305
31.2721 52.1702
10.7592 78.7699
69.4582 30.9754
74.1751 11.8516
39.6931 48.5428
34.6586 41.5278
5.4359 91.5841
37.4866 15.9458
36.6856 20.3608
28.4173 15.009
91.4389 95.7696
66.0146 74.8681
42.5534 20.6452
62.51 66.5701
60.0122 21.9563
98.0508 44.93
76.4331 94.0374
58.194 39.9054 1
14.7727 6.3297 1
62.9531 71.6192 1
18.4303 71.9924 1
8.2893 74.1173 1
21.3928 68.9373 1
52.6436 26.0416 1
66.6704 0.987 1
45.8999 35.0101 1
21.5459 89.6161 1
22.0276 74.3236 1
89.0088 29.3986 1
30.1553 18.4343 1
25.0061 16.2956 1
89.6617 7.579 1
11.9728 43.6979 1
66.5199 27.162 1
32.7472 23.7105 1
32.6094 14.6549 1
82.5488 47.0825 1
55.0212 72.8588 1
64.4778 39.14 1
84.5129 15.6016 1
59.4999 14.1592 1
33.0987 90.4516 1
21.1409 35.2418 1
62.5688 15.9462 1
26.3062 87.1877 1
97.5649 80.3712 1
16.1356 73.4155 1
79.4542 49.2171 1
92.4433 40.1842 1
46.6308 86.2601 1
61.3565 18.0836 1
41.0489 92.5568 1
96.9225 82.2036 1
65.32 68.6578 1
77.141 46.9161 1
41.5175 88.7939 1
14.9071 98.2359 1
49.4319 3.2336 1
84.8694 82.4773 1
67.7786 65.9318 1
44.5928 44.8279 1
49.7077 57.372 1
15.6128 79.7916 1
69.7865 63.2758 1
20.4692 78.9704 1
67.7375 5.9559 1
12.4508 38.9406 1
59.5472 42.0234 1
77.2918 66.4072 1
57.9581 63.4471 1
68.3934 88.5303 1
42.7303 61.1508 1
27.6806 61.5349 1
97.804 87.7162 1
96.4917 76.6863 1
72.8054 75.0091 1
72.4777 11.5622 1
64.4965 20.409 1
8.585 11.626 1
52.7904 84.146 1
85.1543 38.1574 1
20.9986 45.4046 1
82.674 7.3887 1
20.641 2.5165 1
47.5496 96.1115 1
29.9929 15.8395 1
34.497 93.3642 1
92.795 23.6765 1
3.0121 7.5554 1
72.0036 67.2556 1
37.6216 8.4327 1
58.8028 6.2168 1
32.9947 69.5169 1
86.4927 0.2059 1
85.4955 15.6857 1
54.8099 27.455 1
4.3414 31.5229 1
53.358 71.4036 1
82.5268 57.1787 1
56.6275 51.5193 1
21.9237 57.733 1
32.3338 0.49427 1
6.5043 35.2235 1
37.3823 54.4735 1
25.8527 9.2064 1
26.0603 27.2324 1
47.2485 59.0728 1
9.4833 0.46273 1
6.3145 3.0751 1
81.6481 37.6707 1
6.8448 16.5515 1
29.7635 30.6225 1
78.7571 26.9974 1
45.6372 30.721 1
91.0177 58.4022 1
55.0671 53.8519 1
42.9218 79.0671 1
