50 100 10 15
28.371 60.5728
53.5615 64.6814
6.0216 6.9183
67.7427 21.8546
92.2883 77.9994
46.6639 62.9077
36.881 7.0616
91.7394 65.7219
1.1573 51.9659
92.9235 94.753
69.3418 2.0851
82.1237 72.8718
85.7737 39.8518
11.0577 68.7246
70.4999 7.3087
55.1666 75.8046
52.0628 5.0723
31.3732 64.241
16.1415 50.0775
31.9728 53.009
67.1067 73.8252
52.3951 27.4568
60.78 23.8036
76.0315 75.9943
16.3863 96.0094
49.4362 16.6206
76.4688 37.8594
30.0811 9.6802
83.8866 93.4562
67.9808 80.2916
32.8461 73.0205
53.8264 79.4713
83.7817 57.357
24.2977 36.169
1.9484 16.1334
60.7479 88.6371
53.8793 90.1999
22.6349 75.8582
91.9941 36.1792
93.5995 49.6225
48.863 65.8685
69.7628 28.8967
51.6586 14.3057
28.5234 30.8133
0.94505 34.7441
29.295 13.9538
66.6485 21.6239
15.5092 55.5822
22.5578 5.1184
87.7622 41.7353
71.158 6.1912 1
87.9273 29.2961 1
60.1479 55.2272 1
46.4972 74.0127 1
81.5421 31.8404 1
32.2125 49.3858 1
37.6389 62.8669 1
13.8016 75.3146 1
65.3592 69.3887 1
2.5492 13.6881 1
23.3686 90.6962 1
97.8782 37.8877 1
94.3021 52.9622 1
98.1064 98.8615 1
6.6964 95.8209 1
19.5257 81.7646 1
42.3406 42.3895 1
53.7076 81.7977 1
46.3277 44.4496 1
62.5909 38.026 1
50.2559 70.7235 1
79.1777 23.8916 1
71.0352 17.5765 1
56.9405 23.8147 1
15.7099 28.3592 1
62.5603 4.0649 1
92.5833 55.1417 1
98.3197 94.2499 1
72.3174 78.7837 1
18.7558 24.1432 1
86.0132 69.5976 1
12.906 1.5258 1
74.3472 76.8548 1
4.7878 33.1893 1
64.9699 32.233 1
5.9537 76.5437 1
91.9762 38.4165 1
17.1725 21.8627 1
8.8046 56.3322 1
30.4543 22.0633 1
67.1595 16.2637 1
20.4443 39.964 1
97.481 2.0395 1
3.956 42.327 1
49.1791 0.32733 1
64.0933 4.486 1
40.5016 18.9124 1
5.7082 20.1336 1
63.0337 60.035 1
21.4581 23.1722 1
62.9709 56.6548 1
39.4561 55.075 1
79.6108 33.8006 1
87.9037 98.9924 1
78.0077 14.8359 1
70.2483 85.1288 1
42.0672 78.718 1
64.3856 52.4301 1
7.8309 1.8839 1
38.075 26.3452 1
43.7689 99.859 1
40.6951 71.0541 1
27.3786 21.809 1
23.1351 64.1613 1
73.7898 12.1068 1
87.94 55.6681 1
77.2488 78.7968 1
3.5833 41.4502 1
55.4316 8.3664 1
58.8174 58.7107 1
24.6189 63.9266 1
39.8386 12.5155 1
80.678 86.5262 1
30.1836 48.7784 1
48.9634 27.6018 1
78.1287 31.1472 1
44.9977 66.6567 1
83.324 50.0098 1
67.6675 44.4139 1
8.6629 32.5583 1
98.0718 56.5924 1
56.6428 1.5223 1
20.7679 55.2834 1
9.5609 93.5824 1
6.2521 48.1772 1
2.5782 32.8476 1
33.4127 80.3082 1
55.6807 14.3466 1
84.5939 7.8623 1
62.6754 44.5408 1
59.9864 46.551 1
21.0636 73.6679 1
25.3915 69.9037 1
65.1974 53.309 1
32.8917 20.6323 1
52.3174 15.6967 1
12.4717 40.224 1
45.2696 43.7576 1
99.2596 97.5063 1
39.9229 92.6744 1
