50 100 10 15
37.2719 93.5527
75.2009 47.6235
65.2579 40.2236
55.1939 19.0023
85.092 33.7066
42.5249 44.0981
57.4401 13.7984
76.8254 98.0339
53.9514 43.965
98.427 80.3842
10.5585 81.7665
30.1005 23.1528
37.9854 64.1258
47.2716 25.781
22.2569 12.4107
32.0742 40.7058
22.6851 6.7692
2.1758 10.976
1.5473 52.9556
78.385 21.1502
1.8647 2.5967
90.2727 99.412
19.6605 74.4641
60.9035 98.2235
52.2871 95.1382
70.673 47.1608
35.3196 98.7536
75.8894 85.2921
50.5576 30.9077
76.5774 95.1736
36.2532 11.3649
92.5018 11.7274
90.1099 0.069541
55.1715 30.3156
52.1025 36.9181
17.9025 12.0341
60.8923 71.1912
72.796 95.7514
87.5942 32.2288
47.3322 78.8984
75.2214 67.1486
18.1048 10.9614
2.1336 72.3963
12.9271 88.2602
86.0052 0.049313
79.6709 10.1944
18.7592 37.0384
17.1215 91.4689
67.5568 99.8989
39.9895 17.0494
17.2617 48.1528 1
10.307 27.2296 1
60.6148 73.1196 1
41.189 96.9469 1
25.5783 37.5623 1
20.1685 23.86 1
18.7689 24.2705 1
88.3772 1.8939 1
63.1414 98.2653 1
62.2426 80.262 1
65.8269 56.3485 1
17.7084 38.8829 1
62.5849 65.2528 1
87.6456 99.3708 1
17.8203 71.3766 1
64.5574 10.2367 1
88.4122 44.7289 1
25.0516 69.2795 1
58.6221 33.2956 1
48.6873 92.1749 1
83.9086 63.2491 1
5.1676 93.2185 1
73.9473 42.592 1
55.4516 30.049 1
42.9472 88.9029 1
77.9723 1.7374 1
39.6667 14.8055 1
35.7229 95.9162 1
65.9472 71.4469 1
39.4172 30.6467 1
17.8478 82.8096 1
5.4295 80.7892 1
24.7121 90.9255 1
90.1813 64.2813 1
98.2443 62.8686 1
48.4109 11.8471 1
14.475 91.8972 1
51.1667 62.3981 1
99.3528 25.7585 1
76.2569 95.1304 1
96.6024 4.6206 1
92.9881 2.0927 1
23.6491 8.805 1
9.7522 51.7843 1
40.9774 87.8664 1
13.1173 40.2179 1
75.4567 56.1323 1
34.8103 59.8156 1
44.9784 7.5051 1
19.9335 39.149 1
73.6518 35.4985 1
20.3367 24.4789 1
76.816 10.8028 1
24.128 11.2289 1
61.3733 26.7205 1
34.5772 26.6392 1
72.2632 93.6081 1
11.7223 18.6177 1
18.0788 50.7435 1
19.3864 14.7594 1
36.0548 92.07 1
40.4394 92.9461 1
22.578 13.6751 1
66.9057 87.1569 1
95.7213 1.2355 1
43.1665 72.2036 1
80.3814 87.8585 1
79.8189 38.7447 1
99.5241 24.643 1
21.1804 11.1724 1
32.9019 84.6781 1
76.2342 65.9659 1
75.6759 77.9662 1
96.1277 35.8563 1
56.9892 18.4135 1
60.8506 1.018 1
36.5092 8.5915 1
34.3548 32.9467 1
59.9988 30.083 1
52.5629 50.6571 1
48.4967 38.6605 1
65.565 93.7296 1
3.8252 15.9541 1
18.9923 77.971 1
92.8745 17.7462 1
58.298 80.5293 1
1.541 56.2384 1
29.3675 47.0075 1
4.526 35.9612 1
79.4732 37.1774 1
71.1366 38.2873 1
53.6361 25.6307 1
58.6795 97.2038 1
21.0947 66.0565 1
41.3915 50.5287 1
51.5821 19.8021 1
83.8335 10.4384 1
65.9911 88.8413 1
48.1176 36.296 1
85.2765 45.3714 1
