20 50 5 20
82 14
1 76
9 54
11 51
40 46
82 35
2 84
0 32
15 78
95 25
85 18
50 64
24 62
67 73
57 76
68 47
26 44
64 94
17 45
88 19
49 7 0.96
75 21 0.86
17 34 0.78
87 87 0.82
93 30 0.85
85 77 0.88
32 10 0.98
9 31 0.79
21 40 0.87
45 91 0.79
65 11 0.77
40 70 0.86
46 16 0.95
76 95 0.79
37 66 0.82
71 62 0.94
51 12 0.78
73 72 0.99
38 72 0.98
67 79 0.93
66 35 0.92
42 16 0.76
87 8 0.75
3 59 0.94
25 12 0.76
19 16 0.9
10 99 0.94
19 85 0.83
46 63 1.0
45 38 0.95
41 42 0.87
25 95 0.88
47 34 0.89
50 99 0.99
83 12 0.91
84 14 0.91
82 74 0.93
62 42 0.76
56 100 0.78
95 10 0.75
53 47 0.83
52 89 0.97
20 0 0.94
16 40 0.78
54 71 0.95
58 95 0.78
35 83 0.82
35 33 1.0
25 33 0.8
48 30 0.86
