20 50 10 20
41 78
48 82
45 81
51 32
48 5
75 53
1 58
64 5
38 74
84 45
19 10
4 23
56 20
12 15
44 36
74 70
34 74
26 19
21 69
37 88
47 80 0.98
77 100 0.97
95 2 0.98
17 10 0.93
62 98 0.96
76 10 0.95
19 39 0.77
80 3 0.89
93 26 0.87
32 11 0.93
22 12 0.78
3 14 0.98
99 37 0.8
92 27 0.77
67 41 0.81
92 16 1.0
59 46 0.97
35 26 0.85
41 24 0.98
65 96 0.96
40 17 0.79
70 37 0.96
8 62 0.94
20 77 0.93
22 68 0.87
35 68 0.95
59 40 0.98
60 44 0.99
62 93 0.93
10 28 0.87
75 16 0.91
3 100 0.88
21 46 0.87
3 61 0.97
44 5 0.94
90 6 0.89
74 22 0.9
54 9 0.79
68 72 0.91
33 2 1.0
46 11 0.78
40 4 0.88
61 22 0.9
88 33 0.9
37 51 0.77
46 96 0.9
73 67 0.85
74 41 0.89
66 91 0.92
78 12 0.8
