50 100 13 15
39 89
12 5
99 7
32 81
65 71
100 47
23 31
94 88
34 22
33 27
34 37
31 36
25 21
23 82
12 53
71 54
94 19
94 30
49 42
29 30
78 24
40 8
35 84
23 32
80 49
29 24
98 85
100 17
26 32
44 71
17 94
81 86
12 94
61 49
2 48
8 27
18 31
12 43
47 45
50 14
35 75
12 91
51 38
30 55
89 11
50 8
99 30
22 43
69 40
78 85
46 37 0.96
98 0 0.77
71 52 0.93
40 96 0.79
93 98 0.91
57 64 0.9
79 99 0.89
14 96 0.88
0 97 0.97
38 66 0.83
17 36 0.95
10 57 0.98
18 59 0.75
94 100 0.9
51 0 1.0
79 72 0.91
1 28 1.0
51 63 0.8
8 67 0.89
38 47 0.99
95 93 1.0
31 11 0.94
0 52 0.99
44 10 0.96
76 39 0.78
23 18 0.84
55 12 0.95
47 16 0.99
78 63 1.0
10 55 0.98
83 69 0.8
98 24 0.82
65 98 0.91
43 6 1.0
4 40 0.78
30 95 0.81
77 61 0.85
64 32 0.79
58 13 0.78
62 42 0.75
38 49 0.91
68 79 0.92
94 7 0.81
30 68 0.86
9 47 0.93
28 78 0.94
27 29 0.88
17 34 0.83
19 92 0.97
11 52 0.88
99 22 0.79
45 43 0.99
80 69 0.87
99 92 0.81
81 37 0.79
1 53 0.94
81 81 0.79
79 96 0.81
22 96 0.84
51 8 0.84
65 48 0.77
98 16 0.92
20 24 0.96
31 25 0.97
37 47 0.87
31 81 0.97
75 73 0.97
44 39 0.93
84 39 0.89
57 14 0.88
0 57 0.77
42 66 0.93
75 15 0.99
71 2 0.81
45 98 0.96
82 47 0.87
53 79 0.94
27 41 0.76
31 40 0.96
56 68 0.95
1 42 0.9
33 44 0.76
87 47 0.96
58 0 0.78
100 50 0.89
95 16 0.76
94 25 0.98
77 19 1.0
98 47 0.89
66 83 0.94
42 8 0.85
64 12 0.86
84 84 0.8
89 40 0.87
54 99 0.82
33 22 0.8
38 6 0.97
93 13 0.94
49 21 0.77
24 95 0.83
