50 100 10 15
71.746 5.1227
62.0868 31.5271
37.6115 31.4759
63.0672 49.2737
51.7287 5.5631
65.0206 9.4983
87.1254 23.9078
33.1019 78.2436
55.7545 86.883
2.8614 62.3984
22.0866 33.2523
78.5588 27.1248
29.0904 3.1974
5.7183 86.9332
69.8901 24.7647
63.8333 98.5422
64.7709 12.7586
88.2603 53.2953
16.4071 37.8597
66.6668 78.3772
38.3201 91.409
69.3228 36.1125
30.4173 91.1044
64.9632 11.9122
35.9535 3.4828
91.2868 90.4507
38.8772 93.0741
67.8022 58.9996
75.2664 5.6448
19.9394 88.216
67.8317 84.9516
79.1001 56.874
72.6212 46.0586
17.5196 6.7605
10.3216 38.3213
81.7545 74.0402
98.0096 52.2328
75.1684 49.6759
90.9741 83.0199
60.8515 1.6776
45.9201 26.4059
4.5914 14.1901
59.9668 3.2971
78.1424 28.9314
81.8052 89.3866
22.3082 16.3104
73.2903 98.8979
67.7559 13.1302
97.2098 46.73
41.16 37.0159
65.7562 34.6308 1
87.3565 96.7453 1
29.4876 35.5807 1
27.2825 19.3194 1
8.0891 9.1056 1
18.6346 31.3235 1
76.0009 95.8344 1
90.9609 63.8464 1
64.4623 20.814 1
51.7449 33.3122 1
70.1595 34.3016 1
4.5074 89.4843 1
89.0251 50.416 1
67.262 56.2223 1
16.4873 78.9345 1
50.2564 35.0928 1
53.1819 22.018 1
62.4003 82.2832 1
96.4568 7.6042 1
56.9174 8.2186 1
57.7672 30.9716 1
93.7488 85.5496 1
6.156 47.4297 1
65.8997 32.4237 1
9.9398 46.0044 1
60.8669 67.4175 1
80.4352 57.4062 1
3.2315 84.2825 1
52.1933 7.5822 1
29.7648 25.985 1
66.0648 68.7559 1
59.7717 43.2499 1
6.1549 32.3726 1
89.1164 4.6072 1
95.3334 31.0353 1
18.0876 42.6623 1
7.3545 61.5572 1
98.8032 24.3015 1
42.7906 84.4717 1
75.8982 88.2797 1
92.3166 92.8256 1
87.2116 56.2634 1
96.3365 30.2986 1
29.676 77.0147 1
71.0039 50.722 1
90.1098 61.2585 1
87.4201 68.6576 1
82.8601 8.3905 1
3.5209 71.4108 1
90.6136 29.8379 1
62.7933 23.3191 1
57.2596 31.7444 1
73.8187 28.2018 1
50.8222 25.0564 1
86.4827 12.3545 1
14.0238 66.8144 1
65.7136 27.8391 1
59.2994 24.7568 1
51.3367 56.8767 1
24.462 5.1348 1
97.3506 82.3166 1
91.6214 3.6945 1
65.201 26.7171 1
11.0502 30.219 1
51.4626 66.2305 1
48.1053 62.5757 1
6.8172 71.2341 1
38.8843 27.5835 1
80.5203 99.6085 1
78.6656 30.0446 1
11.9977 50.1265 1
41.1976 13.2322 1
79.8067 89.756 1
25.272 23.7942 1
58.7479 6.709 1
3.6733 36.5624 1
68.163 98.9006 1
82.682 21.2025 1
69.9911 28.7535 1
35.1772 50.4589 1
48.9147 63.0568 1
28.4127 39.3183 1
26.5971 67.9961 1
76.4926 13.0034 1
58.4379 7.0238 1
53.8556 4.5384 1
99.0675 55.3928 1
76.9158 89.0816 1
58.6098 58.5794 1
79.0853 53.1546 1
54.8925 64.404 1
7.642 40.7507 1
47.4317 26.1375 1
84.9727 60.921 1
40.3079 63.2786 1
23.6798 75.9273 1
54.1489 23.3894 1
36.8907 28.8725 1
75.8522 2.2698 1
76.9037 29.1437 1
