50 100 5 15
11 33
71 51
11 4
7 12
79 27
7 9
92 46
69 37
28 52
2 68
92 17
2 44
87 81
37 85
52 79
74 57
21 50
2 17
87 48
20 37
53 25
6 39
38 88
74 59
32 67
92 89
79 43
35 34
19 73
4 4
76 23
4 22
37 59
77 6
54 66
75 42
2 1
50 41
24 76
17 65
97 33
70 98
89 15
39 39
65 55
32 92
7 13
1 25
84 56
7 43
52 26 0.97
46 88 0.75
3 74 0.75
13 69 0.96
25 47 0.91
92 79 0.8
5 6 0.78
89 88 0.78
48 77 0.93
44 57 0.77
73 44 0.9
94 78 0.95
45 75 0.98
15 34 0.94
37 20 0.89
18 52 0.83
0 43 0.75
4 83 0.99
40 67 0.79
64 49 0.77
11 44 0.84
39 35 0.84
47 72 0.98
23 93 0.75
22 94 0.96
22 43 0.8
59 34 0.8
84 36 0.75
86 59 0.79
64 26 0.93
63 100 0.99
94 12 0.96
15 15 1.0
9 76 0.79
88 61 0.76
96 18 0.75
57 94 0.96
20 3 0.8
64 28 0.93
19 86 0.88
32 30 0.81
61 50 0.75
9 44 0.93
13 98 0.94
83 13 0.78
23 65 0.75
51 50 0.75
74 58 0.82
54 40 0.76
27 52 0.81
3 18 0.99
24 84 0.75
35 5 0.87
42 88 0.97
76 10 0.76
13 75 0.95
78 62 0.89
37 42 1.0
23 14 0.85
13 27 0.95
23 56 0.76
95 66 0.89
83 85 0.8
62 43 0.89
69 38 0.75
20 18 0.86
9 85 0.85
34 71 0.96
17 8 0.78
24 47 0.87
91 0 0.91
100 50 0.97
3 33 0.76
72 68 0.82
32 11 0.8
54 61 1.0
15 79 0.96
71 32 0.87
41 95 0.87
16 13 0.77
20 98 0.92
86 14 0.96
81 94 1.0
77 34 0.8
80 0 0.82
31 70 0.82
40 33 0.88
4 13 0.86
53 9 0.87
52 85 0.85
35 39 0.95
80 72 0.76
68 60 0.97
98 15 0.89
36 20 0.76
99 41 0.89
97 52 0.97
30 15 0.83
61 54 0.84
20 69 0.87
