50 100 10 15
7.1285 14.187
85.5089 40.6383
9.4353 59.3103
54.9568 80.938
91.5525 47.0599
52.2012 67.4122
5.1965 75.718
44.0909 18.21
69.1189 61.9639
26.1378 76.9927
89.5908 42.1086
45.9712 43.8989
23.2019 48.878
19.5943 21.6833
84.9694 83.2912
74.1609 50.1544
66.2215 10.2732
10.7088 36.436
83.6173 82.0802
45.4915 12.2844
65.063 64.9359
90.4423 73.6625
11.0706 71.0665
60.383 10.5335
1.6382 95.8604
9.121 42.3693
90.5672 56.0113
54.7619 9.8783
64.4206 48.3118
23.5877 15.3625
62.0574 30.847
7.8982 13.0916
64.5751 34.3519
17.63 66.306
61.8925 51.6203
97.0324 79.6667
66.9193 57.6596
33.1811 6.6874
45.7887 24.8482
2.4949 90.8679
52.3105 88.9508
98.9192 98.9806
72.3364 32.3655
39.6945 98.742
59.073 61.3865
57.318 65.2082
50.7674 60.1346
14.5546 79.7794
29.0949 61.0447
50.1144 37.7239
17.4647 34.2846 1
5.9914 65.9341 1
15.2353 3.8964 1
38.3419 77.2143 1
1.3084 69.0085 1
96.5374 92.7245 1
31.8187 6.2019 1
95.5604 68.7467 1
2.896 72.5695 1
39.7179 84.6529 1
27.781 55.38 1
36.1853 84.2397 1
78.0453 4.8919 1
44.5664 75.8804 1
5.7312 67.6 1
4.7994 87.4429 1
53.0815 33.0943 1
76.6768 51.85 1
61.4629 45.3945 1
93.2433 17.9503 1
78.1577 84.7399 1
75.4903 4.6426 1
32.6217 52.3596 1
52.1981 23.2704 1
64.5579 90.3274 1
51.1238 54.1257 1
66.21 9.8685 1
23.131 85.7084 1
98.2569 4.2738 1
8.5919 14.2042 1
41.2678 21.7498 1
98.5284 77.7462 1
48.5259 35.7606 1
61.1872 2.5324 1
1.122 83.378 1
76.8552 36.3198 1
74.156 78.8562 1
21.7347 87.966 1
39.7321 67.6508 1
26.2564 54.5244 1
7.8639 89.8889 1
22.012 9.9493 1
48.4985 9.0939 1
51.5296 3.4239 1
83.9009 32.4174 1
41.3152 16.6066 1
40.2176 99.8079 1
95.2687 41.5485 1
33.5098 75.4333 1
13.375 69.3313 1
69.5436 77.0644 1
92.2773 91.226 1
48.7525 31.068 1
50.5692 20.4717 1
0.46258 7.2879 1
18.8469 58.7201 1
77.9639 54.2487 1
61.0826 64.4086 1
79.2457 59.8005 1
83.79 45.002 1
68.7358 16.255 1
8.1434 76.4921 1
80.6141 98.33 1
13.4777 14.3146 1
56.9914 82.7703 1
57.4692 88.1133 1
1.6103 7.045 1
93.4828 47.7865 1
61.478 73.8755 1
66.8575 73.3737 1
42.1773 81.6245 1
70.2767 53.348 1
47.0697 56.0833 1
40.8893 34.6526 1
98.8636 55.0756 1
48.5251 2.1103 1
11.7263 73.6771 1
85.8086 83.3972 1
34.1976 83.632 1
31.6379 3.312 1
37.7527 91.2172 1
86.9882 9.4925 1
53.1433 85.0908 1
2.5156 52.22 1
24.8355 1.6366 1
72.368 12.9177 1
43.2381 59.3175 1
26.1451 72.1787 1
18.9409 3.7025 1
21.4478 17.6169 1
49.4895 23.2437 1
3.3001 71.5013 1
37.2624 77.0586 1
35.6677 58.9379 1
27.4707 87.2939 1
26.4399 45.3991 1
74.4515 98.3929 1
13.1684 25.9961 1
80.3084 69.0669 1
30.4403 59.6744 1
