20 50 2 20
36 16
90 4
2 91
17 24
26 90
98 3
24 88
16 74
21 97
30 14
67 19
68 35
10 30
53 37
14 33
55 31
60 65
79 39
21 29
42 79
98 85 0.77
66 78 0.76
17 60 0.8
36 36 0.83
10 36 0.91
5 89 0.94
11 57 0.94
92 75 0.95
73 31 0.91
85 8 0.78
0 38 0.89
11 5 0.84
88 76 0.88
100 25 0.78
93 12 0.77
88 0 0.77
44 17 0.77
51 69 1.0
91 34 0.99
35 80 0.78
67 41 0.77
84 97 0.79
68 78 0.75
24 26 0.83
43 88 0.95
64 81 0.76
4 76 0.9
16 68 1.0
3 76 0.79
73 61 0.86
33 54 0.94
16 23 0.98
87 11 0.76
82 24 0.75
17 71 0.86
30 70 0.89
50 63 0.92
98 94 0.82
9 3 0.84
74 32 0.82
10 16 0.85
32 2 0.97
90 37 0.9
19 57 0.81
61 21 0.92
37 96 0.78
92 43 0.94
2 26 0.9
86 13 0.85
94 11 0.86
